playerId,shortName,team,position,height,foot,minutesPlayed,goals,X_pass_mean,X_pass_std,Y_pass_mean,Y_pass_std,forward_passes,smart_passes,pass_end_z1,pass_end_z2,pass_end_z3,pass_end_z4,pass_end_z5,pass_end_z6,pass_end_z7,pass_end_z8,pass_end_z9,pass_reception_z1,pass_reception_z2,pass_reception_z3,pass_reception_z4,pass_reception_z5,pass_reception_z6,pass_reception_z7,pass_reception_z8,pass_reception_z9,dribble_z1,dribble_z2,dribble_z3,dribble_z4,dribble_z5,dribble_z6,dribble_z7,dribble_z8,dribble_z9,cross_z1,cross_z2,cross_z3,cross_z4,shot_z1,shot_z2,shot_z3,shot_z4,shot_wleft,shot_wright,shot_whead,defense_z1,defense_z2,defense_z3,defense_z4,defense_z5,defense_z6,defense_z7,defense_z8,defense_z9,defense_z10,defense_z11,defense_z12,clearances_per90,interceptions_per90,tackles_per90,loose_ball_won_per90,final_third_recovery_per90,air_success,headers_per90,ABCD,BACD,BCAD,BCDA,ABAB,BABA,ABAC,BABC,BCBA,ABCA,BACB,BCAB,ABCB,BACA,BCAC,flow_centrality
36,T. Alderweireld,Tottenham Hotspur,Defender,187,right,630,0,8.021582734,10.40828451,15.1971223,17.25908666,0.659448819,0.002227171,0.091314031,0.200445434,0.144766147,0.113585746,0.100222717,0.195991091,0.035634744,0.008908686,0.057906459,0.057142857,0.194805195,0.374025974,0.046753247,0.046753247,0.254545455,0,0.007792208,0.018181818,0,0,0.285714286,0,0,0.285714286,0,0,0,0,0.857142857,0,0,0.571428572,0.142857143,0.142857143,0,0,0.833333333,0.166666667,0.070175439,0.105263158,0.175438596,0.070175439,0.070175439,0.263157895,0.035087719,0,0.122807018,0.035087719,0,0.052631579,2.142857143,3.714285714,1.714285714,1.142857143,0.571428571,0.518518519,5.857142857,24.71428571,25.42857143,26.28571429,21.71428571,0.428571429,1,6.428571429,3.428571429,6.285714286,2.428571429,3.857142857,2.857142857,6.428571429,6.285714286,3.714285714,0.487967535
38,D. Blind,0,Defender,180,left,270,0,5.551839465,8.764239897,7.963210702,12.14628334,0.448863636,0.006849315,0.178082192,0.089041096,0.01369863,0.390410959,0.068493151,0.006849315,0.143835616,0.034246575,0.01369863,0.304964539,0.007092199,0,0.482269504,0.014184397,0,0.191489362,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,3.666666667,0,1.333333333,0,0.666666667,0.333333333,0,0,1,0,0,0.272727273,0.060606061,0,0.212121212,0.03030303,0,0.181818182,0.090909091,0,0.03030303,0,0.121212121,1.333333333,6.333333333,1.333333333,1,2,0.555555556,6.333333333,13,16.33333333,15.33333333,16.33333333,1,1,3.666666667,5.666666667,5,3.666666667,2.333333333,3.666666667,4.666666667,5.666666667,5,0.483019277
45,G. van der Wiel,0,Defender,183,right,185,0,4.064935065,7.472542615,6.383116883,11.52445428,0.350649351,0,0.046875,0.125,0.515625,0.015625,0.078125,0.15625,0.015625,0,0.03125,0,0.020833333,0.666666667,0,0.041666667,0.25,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,1.945945946,0,0,0.486486486,0,0,0,0,1,0,0,0.19047619,0.476190476,0,0,0.333333333,0,0,0,0,0,0,2.918918919,5.837837838,3.405405405,0.972972973,0,0.545454545,5.351351351,7.783783784,7.783783784,4.864864865,8.756756757,0.486486486,0,1.945945946,1.945945946,0,0.972972973,0.486486486,2.432432432,1.459459459,2.432432432,3.405405405,0.383016983
48,J. Vertonghen,Tottenham Hotspur,Defender,189,left,1584,0,7.054054054,9.31703832,12.80103508,14.58740487,0.606796117,0.001808318,0.191681736,0.245931284,0.05244123,0.255877034,0.100361664,0.048824593,0.043399638,0.011754069,0.013562387,0.440935673,0.159064327,0.003508772,0.300584795,0.07251462,0,0.01871345,0.004678363,0,0.181818182,0,0,0.090909091,0,0,0.090909091,0,0.090909091,0.397727273,0,0.056818182,0,0.284090909,0.284090909,0,0.056818182,0.363636364,0.272727273,0.363636364,0.149253731,0.067164179,0.037313433,0.343283582,0.059701493,0.014925373,0.194029851,0.052238806,0.014925373,0.037313433,0.014925373,0.014925373,2.329545455,5.738636364,1.875,1.704545455,0.795454545,0.72815534,9.147727273,23.57954545,22.5,22.5,18.35227273,0.965909091,0.738636364,5.454545455,4.545454545,5.340909091,3.011363636,2.215909091,2.670454545,5,5.170454545,4.318181818,0.500371369
54,C. Eriksen,Tottenham Hotspur,Midfielder,180,right,1748,5,5.2180937,7.785536991,9.270328487,13.4880274,0.412258606,0.02038736,0.069317023,0.093781855,0.076452599,0.172273191,0.163098879,0.163098879,0.079510703,0.044852192,0.088685015,0.069075452,0.074388948,0.091392136,0.178533475,0.251859724,0.181721573,0.053134963,0.034006376,0.065887354,0.109410755,0,0.109410755,0.328232265,0,0,0.21882151,0.109410755,0,1.132723112,1.390160183,0.360411899,0.566361556,1.544622426,0.308924484,0.3604119,0.102974827,0.377777778,0.6,0.022222222,0.051851852,0.02962963,0.044444444,0.148148148,0.074074074,0.096296296,0.140740741,0.088888889,0.111111111,0.059259259,0.051851852,0.103703704,0.514874142,2.883295195,0.720823799,1.029748284,1.544622426,0.3125,3.552631579,14.98283753,16.78489703,17.66018307,19.71967963,0.772311213,0.97826087,4.170480549,4.221967963,3.913043478,3.295194508,2.162471396,2.83180778,4.273455378,4.221967963,4.942791762,0.459990998
56,D. Klaassen,Werder Bremen,Midfielder,179,right,85,0,4,5.946988033,7.803278689,11.78250069,0.325,0,0.214285714,0.071428571,0.107142857,0.107142857,0.142857143,0.107142857,0.107142857,0,0.142857143,0.173913043,0.086956522,0.043478261,0.086956522,0.130434783,0.304347826,0.043478261,0.086956522,0.043478261,0,0,0,0,0,0,0,0,0,1.058823529,1.058823529,1.058823529,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0.125,0.375,0,0.125,0,0,0.125,1.058823529,2.117647059,0,0,1.058823529,0,4.235294118,10.58823529,9.529411765,5.294117647,8.470588235,0,0,3.176470588,0,3.176470588,0,1.058823529,4.235294118,1.058823529,4.235294118,1.058823529,0.293478261
66,K. Sigborsson,Nantes,Forward,186,right,24,0,1.695652174,4.236580768,3.826086957,8.922149017,0.142857143,0,0.166666667,0,0,0,0.333333333,0.333333333,0,0,0.166666667,0,0,0,0.25,0.25,0.375,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.75,0,0,0,0.666666667,18.75,3.75,3.75,7.5,7.5,0,0,0,3.75,3.75,0,0,0,3.75,0,3.75,0
74,R. Klavan,Cagliari,Defender,187,left,540,0,7.003584229,8.707287939,16.18100358,14.83038263,0.63255814,0,0.218592965,0.293969849,0.100502513,0.198492462,0.065326633,0.035175879,0.015075377,0.015075377,0.007537688,0.432343234,0.389438944,0,0.128712871,0.04620462,0,0.00330033,0,0,0.166666667,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.090909091,0.060606061,0.090909091,0.545454545,0.090909091,0,0.121212121,0,0,0,0,0,1.333333333,5.166666667,2,1,0.166666667,0.55,6.166666667,19.66666667,21.33333333,23.33333333,16.16666667,2.333333333,1.833333333,10,4.166666667,7.666666667,3,4.5,2.5,8,9.333333333,3.833333333,0.466019879
77,N. Moisander,Werder Bremen,Defender,183,left,990,1,7.04015544,9.562529227,12.45207254,15.20048581,0.656804734,0,0.208144796,0.262443439,0.106334842,0.176470588,0.099547511,0.056561086,0.027149321,0.009049774,0.00678733,0.534653465,0.227722772,0.00660066,0.155115512,0.072607261,0,0,0.00330033,0,0.181818182,0.272727273,0,0,0,0,0,0,0,0.181818182,0,0,0,0.181818182,0,0.545454546,0.090909091,0.555555556,0.111111111,0.333333333,0.202702703,0.108108108,0.067567568,0.283783784,0.135135135,0.027027027,0.162162162,0,0,0,0.013513514,0,3.090909091,6.818181818,1.181818182,1.636363636,0.363636364,0.41025641,6.272727273,10.45454545,11.36363636,11.54545455,9,0.818181818,0.727272727,3.818181818,1.272727273,1.818181818,1.545454545,0.818181818,1,3.181818182,3.454545455,1.454545455,0.388577503
91,C. Benschop,Hannover 96,Forward,191,right,19,0,0.78125,2.351860965,2.25,6.525384675,0.555555556,0,0,0,0.166666667,0,0,0.166666667,0,0.333333333,0.333333333,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,4.736842105,0,4.736842105,4.736842105,0,0,0,1,0,0,0,0,0,0,0.142857143,0.285714286,0,0.142857143,0.142857143,0,0.142857143,0.142857143,4.736842105,4.736842105,0,14.21052632,14.21052632,0.5,14.21052632,4.736842105,4.736842105,4.736842105,4.736842105,0,0,0,0,0,4.736842105,0,0,0,0,0,0
