playerId,shortName,team,position,height,foot,age,value,marketValue,minutesPlayed,goals,X_pass_mean,X_pass_std,Y_pass_mean,Y_pass_std,forward_passes,smart_passes,pass_end_z1,pass_end_z2,pass_end_z3,pass_end_z4,pass_end_z5,pass_end_z6,pass_end_z7,pass_end_z8,pass_end_z9,pass_reception_z1,pass_reception_z2,pass_reception_z3,pass_reception_z4,pass_reception_z5,pass_reception_z6,pass_reception_z7,pass_reception_z8,pass_reception_z9,dribble_z1,dribble_z2,dribble_z3,dribble_z4,dribble_z5,dribble_z6,dribble_z7,dribble_z8,dribble_z9,cross_z1,cross_z2,cross_z3,cross_z4,shot_z1,shot_z2,shot_z3,shot_z4,shot_wleft,shot_wright,shot_whead,defense_z1,defense_z2,defense_z3,defense_z4,defense_z5,defense_z6,defense_z7,defense_z8,defense_z9,defense_z10,defense_z11,defense_z12,clearances_per90,interceptions_per90,tackles_per90,loose_ball_won_per90,final_third_recovery_per90,air_success,headers_per90,ABCD,BACD,BCAD,BCDA,ABAB,BABA,ABAC,BABC,BCBA,ABCA,BACB,BCAB,ABCB,BACA,BCAC,flow_centrality
36,T. Alderweireld,Tottenham Hotspur,Defender,187,right,29,40000000," $40,000,000 ",1170,0,8.029718876,10.41756418,14.85301205,16.69371575,0.64142539,0.001265823,0.097468354,0.220253165,0.178481013,0.093670886,0.097468354,0.188607595,0.026582278,0.008860759,0.050632911,0.033182504,0.245852187,0.423831071,0.028657617,0.051282051,0.191553544,0.001508296,0.009049774,0.015082956,0,0,0.192307692,0,0,0.192307692,0,0,0,0.076923077,0.538461538,0,0,0.461538461,0.153846154,0.153846154,0,0.1,0.7,0.2,0.09,0.09,0.21,0.06,0.04,0.33,0.02,0,0.11,0.02,0,0.03,2.307692308,4.153846154,1.307692308,1,0.384615385,0.418181818,5.846153846,22.53846154,24,23.92307692,18.76923077,0.615384615,0.769230769,6,3.538461538,5.923076923,2.769230769,3.153846154,2.461538462,5.384615385,5.846153846,3.307692308,0.474259334
48,J. Vertonghen,Tottenham Hotspur,Defender,189,left,31,32000000," $32,000,000 ",3204,0,6.964338344,9.240699763,12.77424108,14.62790316,0.629113924,0.001419782,0.186464742,0.247988642,0.072408897,0.24704212,0.101751065,0.053478467,0.03076195,0.010411737,0.011358258,0.468848332,0.195720579,0.00377596,0.237885463,0.074889868,0,0.014474512,0.004405286,0,0.216693419,0.108346709,0,0.07223114,0,0,0.07223114,0,0.03611557,0.365168539,0,0.140449438,0,0.393258427,0.196629214,0.028089888,0.028089888,0.652173913,0.173913043,0.173913043,0.180555556,0.086805556,0.048611111,0.319444444,0.072916667,0.03125,0.152777778,0.065972222,0.006944444,0.017361111,0.010416667,0.006944444,2.387640449,5.926966292,1.994382022,1.601123596,0.646067416,0.643192488,8.314606742,22.2752809,21.88202247,21.71348315,16.54494382,0.674157303,0.533707865,5.028089888,3.904494382,5.421348315,2.640449438,1.938202247,1.994382022,5.140449438,4.550561798,3.539325843,0.480532028
54,C. Eriksen,Tottenham Hotspur,Midfielder,180,right,26,80000000," $80,000,000 ",3226,10,5.38350939,7.939523267,9.210093897,13.21737581,0.420765027,0.023294509,0.064337216,0.088186356,0.08985025,0.161952302,0.178036606,0.156960621,0.073211314,0.049916805,0.091514143,0.059779454,0.077190946,0.094602438,0.16540917,0.282646547,0.188044109,0.038305281,0.030760302,0.063261753,0.065096095,0,0.130192188,0.260384377,0,0.130192188,0.195288283,0.130192188,0,0.725356479,1.590204588,0.278983261,0.474271544,1.394916305,0.278983261,0.334779913,0.223186609,0.3375,0.65,0.0125,0.040740741,0.014814815,0.033333333,0.118518519,0.066666667,0.107407407,0.122222222,0.125925926,0.177777778,0.048148148,0.055555556,0.088888889,0.390576565,3.013019219,0.809051457,1.255424675,2.064476131,0.288461538,3.626782393,14.73031618,16.23682579,17.71543707,18.71977681,0.669559826,0.976441414,4.128952263,4.352138872,3.822070676,3.654680719,2.259764414,3.013019219,3.738375697,4.57532548,4.770613763,0.464145917
74,R. Klavan,Cagliari,Defender,187,left,32,3500000," $3,500,000 ",1440,1,6.852287582,8.659710919,15.18431373,14.83689442,0.659292035,0.003802281,0.224334601,0.284220532,0.103612167,0.208174905,0.067490494,0.038022814,0.017110266,0.006653992,0.007604563,0.50617284,0.307407407,0,0.132098765,0.04691358,0.002469136,0.003703704,0,0.001234568,0.1875,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.0625,0.0625,0.5,0,0.5,0.153153153,0.099099099,0.054054054,0.387387387,0.108108108,0.018018018,0.144144144,0.018018018,0,0,0.018018018,0,2.375,4.6875,1.875,0.8125,0.125,0.440366972,6.125,21.5,25.0625,23.9375,15.875,1.375,1.25,9.5,3.6875,7.0625,3.625,3.6875,2.1875,8.125,9.125,4.125,0.475945525
77,N. Moisander,Werder Bremen,Defender,183,left,32,2500000," $2,500,000 ",2250,2,7.280400572,9.573618043,13.42012399,15.87346901,0.668079096,0.001603849,0.210906175,0.229350441,0.132317562,0.180433039,0.094627105,0.060946271,0.021651965,0.020048115,0.007217322,0.553047404,0.250564334,0.003386005,0.135440181,0.05530474,0.001128668,0,0.001128668,0,0.146666667,0.244444445,0,0.048888889,0,0,0,0,0,0.28,0.04,0,0,0.12,0.04,0.32,0.08,0.428571429,0.214285714,0.357142857,0.141361257,0.12565445,0.041884817,0.272251309,0.162303665,0.015706806,0.136125654,0.062827225,0.015706806,0.005235602,0.015706806,0.005235602,3.12,6.52,1.52,1.72,0.64,0.464285714,5.84,12.92,14.2,14.16,10.48,0.92,1.12,5.76,2.16,2.96,2.08,1.36,1.48,3.64,5,2.08,0.431481897
93,J. Guomundsson,Burnley,Midfielder,186,left,27,10000000," $10,000,000 ",2825,2,3.440168687,7.025175462,5.011070111,10.84652153,0.323809524,0.011382114,0.06504065,0.06504065,0.17398374,0.104065041,0.095934959,0.193495935,0.073170732,0.092682927,0.087804878,0.058064516,0.025806452,0.124193548,0.085483871,0.093548387,0.314516129,0.091935484,0.037096774,0.169354839,0.065309735,0.065309735,0.130619469,0.130619469,0.065309735,0.457168142,0,0,0.326548673,0.76460177,1.879646018,0.509734513,0.414159292,0.892035398,0.191150442,0.159292035,0.350442478,0.82,0.1,0.08,0.053941909,0.033195021,0.186721992,0.058091286,0.058091286,0.170124481,0.070539419,0.041493776,0.199170124,0.037344398,0.020746888,0.070539419,0.700884956,3.153982301,0.796460177,1.019469027,1.178761062,0.42,3.185840708,4.14159292,3.695575221,3.6,5.989380531,0.127433628,0.286725664,1.051327434,1.019469027,0.796460177,0.700884956,0.669026549,0.828318584,0.860176991,0.76460177,1.433628319,0.321934817
102,Marcelo,Olympique Lyonnais,Defender,191,right,31,9000000," $9,000,000 ",3147,3,7.645531197,10.15501401,15.15109612,16.50168998,0.666666667,0,0.147074611,0.253354804,0.231347289,0.038110574,0.052603328,0.210413312,0.003220612,0.006977992,0.024691358,0.016197183,0.380985915,0.477464789,0.001408451,0.045774648,0.073239437,0.000704225,0.003521127,0.000704225,0,0,0.028598665,0,0,0,0,0,0,0.028598665,0.057197331,0,0,0,0.057197331,0.457578646,0.057197331,0,0.25,0.75,0.064655172,0.129310345,0.224137931,0.017241379,0.120689655,0.262931034,0.00862069,0.021551724,0.112068966,0,0.030172414,0.00862069,3.746425167,6.491897045,1.572926597,1.42993327,0.114394662,0.735294118,7.464251668,17.9313632,21.19161106,21.33460439,12.84080076,0.486177312,0.428979981,5.633937083,2.087702574,5.490943756,3.260247855,1.601525262,1.201143947,5.204957102,5.319351764,1.830314585,0.470431181
107,E. Pieters,Stoke City,Defender,182,left,29,6000000," $6,000,000 ",2720,0,4.515539305,8.578225315,5.134369287,10.44913859,0.395773295,0.002594034,0.298313878,0.137483787,0.019455253,0.286640726,0.064850843,0.011673152,0.097276265,0.036316472,0.007782101,0.396054628,0.028831563,0.004552352,0.393019727,0.025796662,0,0.148710167,0.003034901,0,0.303308824,0,0,0.060661764,0,0,0.303308824,0,0,1.985294118,0,0.496323529,0,0.066176471,0.033088235,0,0,1,0,0,0.343589744,0.043589744,0.007692308,0.317948718,0.048717949,0.002564103,0.151282051,0.023076923,0.007692308,0.046153846,0.002564103,0.005128205,2.415441176,7.047794118,2.481617647,1.6875,1.191176471,0.513274336,5.757352941,7.113970588,6.419117647,5.988970588,7.477941176,0.363970588,0.231617647,0.992647059,2.647058824,1.191176471,0.926470588,0.827205882,1.158088235,1.125,1.125,2.349264706,0.386950036
110,J. Willems,Eintracht Frankfurt,Defender,169,left,24,7000000," $7,000,000 ",1664,0,3.73853525,7.521299457,4.973305955,10.90437762,0.454861111,0.024943311,0.272108844,0.095238095,0.011337868,0.263038549,0.052154195,0.009070295,0.133786848,0.077097506,0.01814059,0.327411168,0.002538071,0.007614213,0.421319797,0.002538071,0.007614213,0.215736041,0.007614213,0.007614213,0.631009616,0,0,0.721153845,0,0.090144231,0.721153845,0,0,2.001201923,0.162259615,0.432692308,0,0.432692307,0.432692307,0.054086538,0,0.705882353,0.235294118,0.058823529,0.287958115,0,0.02617801,0.392670157,0.005235602,0,0.204188482,0.010471204,0.005235602,0.057591623,0,0.010471204,1.352163462,5.354567308,2.217548077,1.460336538,1.243990385,0.391304348,3.677884615,6.057692308,5.030048077,4.867788462,6.977163462,0.162259615,0.216346154,1.081730769,1.838942308,1.081730769,0.757211538,1.243990385,0.919471154,1.135817308,1.081730769,1.730769231,0.372815034
114,K. Strootman,Roma,Midfielder,186,left,28,28000000," $28,000,000 ",2250,1,5.782567948,7.924252019,8.795688847,11.79360162,0.515086207,0.009975062,0.132169576,0.104738155,0.073981712,0.264339152,0.131338321,0.093931837,0.098088113,0.025768911,0.035743973,0.167938931,0.110687023,0.062022901,0.333015267,0.146946565,0.083015267,0.060114504,0.020038168,0.016221374,0.253333333,0.168888889,0,0.168888889,0.084444444,0,0,0,0,1.16,0.12,0.2,0,0.32,0.36,0.08,0.08,0.666666667,0.047619048,0.285714286,0.0609319,0.039426523,0.032258065,0.103942652,0.11827957,0.096774194,0.168458781,0.154121864,0.129032258,0.050179211,0.021505376,0.025089606,0.44,3.64,1.6,1.8,2.16,0.5,3.64,12.92,14.96,14.72,14.84,0.64,0.96,5.16,3.16,2.48,2.84,2.44,2.92,2.84,4.72,3.28,0.427691589
