playerId,shortName,position,team1,team2
132,T. Kongolo,Defender,Monaco,Huddersfield Town
151,J. Guidetti,Forward,Celta de Vigo,Deportivo Alavés
174,F. Duričić,Midfielder,Sampdoria,Benevento
370,V. van Dijk,Defender,Southampton,Liverpool
1751,O. Tannane,Forward,Las Palmas,Saint-Étienne
3335,Bartra,Defender,Real Betis,Borussia Dortmund
3348,Deulofeu,Forward,Barcelona,Watford
3361,A. Sánchez,Forward,Arsenal,Manchester United
3460,Coke,Defender,Levante,Schalke 04
3539,H. Pérez,Midfielder,Espanyol,Deportivo Alavés
3671,Íñigo Martínez,Defender,Real Sociedad,Athletic Club
3704,P. Diop,Midfielder,Espanyol,Eibar
3708,Jairo Samperio,Midfielder,Las Palmas,Mainz 05
3710,K. Babacar,Forward,Fiorentina,Sassuolo
3795,H. Moreno,Defender,Real Sociedad,Roma
3802,Philippe Coutinho,Forward,Barcelona,Liverpool
3803,Sergi Darder,Midfielder,Espanyol,Olympique Lyonnais
3885,L. Cabrera,Defender,Getafe,Crotone
3970,Gálvez,Defender,Eibar,Las Palmas
4009,M. Lacen,Midfielder,Getafe,Málaga
4086,Bóveda,Defender,Athletic Club,Deportivo La Coruña
4255,L. Ulloa,Forward,Leicester City,Brighton & Hove Albion
4332,Javi Fuego,Midfielder,Espanyol,Villarreal
4365,Roque Mesa,Midfielder,Sevilla,Swansea City
4375,Vitolo,Midfielder,Las Palmas,Atlético Madrid
5911,Sandro,Forward,Sevilla,Everton
7864,F. Coquelin,Midfielder,Valencia,Arsenal
7868,A. Oxlade-Chamberlain,Midfielder,Arsenal,Liverpool
7879,T. Walcott,Forward,Arsenal,Everton
7907,D. Sturridge,Forward,Liverpool,West Bromwich Albion
7915,P. Evra,Defender,Olympique Marseille,West Ham United
8284,A. Lennon,Midfielder,Everton,Burnley
8498,A. King,Midfielder,Leicester City,Swansea City
14731,M. Gómez,Forward,Wolfsburg,Stuttgart
14801,N. Subotić,Defender,Saint-Étienne,Borussia Dortmund
15085,S. Wagner,Forward,Hoffenheim,Bayern München
15771,S. Langkamp,Defender,Hertha BSC,Werder Bremen
16094,S. Terodde,Forward,Stuttgart,Köln
16110,K. Kampl,Midfielder,Bayer Leverkusen,RB Leipzig
20450,Bojan,Forward,Deportivo Alavés,Stoke City
20460,M. Cáceres,Defender,Hellas Verona,Lazio
20468,E. Giaccherini,Midfielder,Napoli,Chievo
20536,G. Pazzini,Forward,Levante,Hellas Verona
20632,C. Puggioni,Goalkeeper,Sampdoria,Benevento
20663,C. Théréau,Forward,Udinese,Fiorentina
20748,N. Tomović,Defender,Fiorentina,Chievo
20949,Ryder Matos,Forward,Udinese,Hellas Verona
21370,M. Capuano,Defender,Cagliari,Crotone
21620,J. Kurtič,Midfielder,Atalanta,SPAL
21861,D. Falcinelli,Forward,Sassuolo,Fiorentina
22381,Daniel Bessa,Midfielder,Hellas Verona,Genoa
22552,V. Belec,Goalkeeper,Benevento,Sampdoria
22889,D. Zappacosta,Defender,Torino,Chelsea
25407,C. Grenier,Midfielder,Olympique Lyonnais,Guingamp
25437,B. Matuidi,Midfielder,Juventus,PSG
25504,S. Meïté,Midfielder,Monaco,Bordeaux
25514,P. Ntep,Midfielder,Saint-Étienne,Wolfsburg
25572,A. Ayew,Forward,West Ham United,Swansea City
25577,L. Rémy,Forward,Las Palmas,Getafe
25867,P. Aubameyang,Forward,Borussia Dortmund,Arsenal
25885,M. Wagué,Defender,Udinese,Watford
25923,N. de Préville,Forward,Lille,Bordeaux
25999,R. Cabella,Midfielder,Olympique Marseille,Saint-Étienne
26000,B. Dabo,Midfielder,Fiorentina,Saint-Étienne
26010,O. Giroud,Forward,Arsenal,Chelsea
26021,S. Falette,Defender,Metz,Eintracht Frankfurt
26332,P. Baysse,Defender,Málaga,Bordeaux
26518,C. Sánchez,Midfielder,Espanyol,Fiorentina
26610,D. Sakho,Forward,Rennes,West Ham United
27959,T. Touré,Forward,Bordeaux,Angers
32968,N. Amrabat,Forward,Leganés,Watford
38093,M. Batshuayi,Forward,Borussia Dortmund,Chelsea
40765,Lucas Moura,Forward,PSG,Tottenham Hotspur
40787,Emerson,Defender,Roma,Chelsea
49859,A. Dragović,Defender,Bayer Leverkusen,Leicester City
49979,D. Pavlovic,Defender,Sampdoria,Crotone
56025,M. Krohn-Dehli,Midfielder,Sevilla,Deportivo La Coruña
70085,E. Mangala,Defender,Manchester City,Everton
70965,João Mário,Midfielder,Internazionale,West Ham United
85113,A. Toșca,Defender,Real Betis,Benevento
86239,G. Carrillo,Forward,Monaco,Southampton
86307,L. Vietto,Forward,Atlético Madrid,Valencia
92947,K. Stafylidis,Defender,Augsburg,Stoke City
99511,M. Stępiński,Forward,Chievo,Nantes
105338,H. Mkhitaryan,Midfielder,Manchester United,Arsenal
105619,A. Mehmedi,Forward,Bayer Leverkusen,Wolfsburg
119630,I. Slimani,Forward,Leicester City,Newcastle United
134502,A. Laporte,Defender,Athletic Club,Manchester City
134708,D. Origi,Forward,Wolfsburg,Liverpool
135903,João Cancelo,Defender,Valencia,Internazionale
149053,R. Walter,Midfielder,Nice,Troyes
149076,V. Eysseric,Midfielder,Fiorentina,Nice
149389,J. Toljan,Defender,Hoffenheim,Borussia Dortmund
224971,E. Thommy,Midfielder,Augsburg,Stuttgart
237034,Gonçalo Guedes,Forward,Valencia,PSG
239298,F. Bonazzoli,Forward,Sampdoria,SPAL
247222,Medrán,Midfielder,Valencia,Deportivo Alavés
250956,F. Ricci,Forward,Genoa,Crotone
252589,B. Petković,Forward,Bologna,Hellas Verona
264989,F. Mubele,Forward,Rennes,Toulouse
270828,G. N'Koudou,Forward,Tottenham Hotspur,Burnley
273819,Xeka,Midfielder,Lille,Dijon
274435,E. Ünal,Forward,Villarreal,Levante
275032,E. Crivelli,Forward,Angers,Caen
275293,Samu García,Midfielder,Levante,Málaga
276211,A. Saint-Maximin,Forward,Monaco,Nice
279734,V. Koziello,Midfielder,Nice,Köln
284469,J. Brekalo,Midfielder,Stuttgart,Wolfsburg
292991,M. Lemos,Defender,Las Palmas,Sassuolo
293862,Nacho Gil,Forward,Valencia,Las Palmas
294695,T. Ndombèlé,Midfielder,Amiens SC,Olympique Lyonnais
334817,L. Boyé,Forward,Celta de Vigo,Torino
337225,R. Aarons,Midfielder,Hellas Verona,Newcastle United
338249,Gil Dias,Forward,Fiorentina,Monaco
340476,R. Oxford,Defender,Borussia M'gladbach,West Ham United
347366,J. Bruun Larsen,Forward,Borussia Dortmund,Stuttgart
353833,K. Mbappé,Forward,Monaco,PSG
356906,F. Passlack,Midfielder,Borussia Dortmund,Hoffenheim
373768,R. Orsolini,Forward,Atalanta,Bologna
391441,M. Friedl,Defender,Bayern München,Werder Bremen
406682,A. Lookman,Midfielder,RB Leipzig,Everton
412701,I. Sacko,Forward,Strasbourg,Nice
481329,P. Pellegri,Forward,Genoa,Monaco
